post_txt,is_slang
"{$PLZL} Что за гробовая тишина, куда цыганский табор делся!??? Совести у вас нет, обкэшились об люд простой!",1
"{$ARVL} О, а за что мой вчерашний комментарий удалили?  Ну ладно, я продублирую) :
""Теперь уже никто отсюда не выйдет"" ?",0
{$PLZL} надеюсь это дно?и начнётся разворот,1
"{$VKCO} взял в рост, теханал намекает на 513",1
{$SGZH} КУСОК    Г    А НЕ ПАПИРА,0
{$SBER} гэп будет закрыт )) весь негатив отыграли а шортилы глотайте пыль  ???,1
"{$USDRUB} кто знает, что с помощью, ощущение, что меня кинули? Нужна справка",0
{$GAZP} Практически остались тут только самые стрессоустойчивые ?,0
"{$SBER} кто-то не хочет роста, зато так много верующих в сбер",1
{$FIVE} судя по пружине сегодня кого-то куканут,1
"{$SPCE} Для будущего поколения! -207% депозита, Пружина сжимается, иксы неизбежны (с). P.S. Ричи Скамсон",1
"{$NGX2} {$NGV2} {$NGZ2} 

Итог сделки: +0,7% ?

?Сегодня день газа. В прошлом посту писал вам о потенциальном импульсе при пробитии уровня 6,112 вверх ?. До этого мы с вами оперировали шорт-сделками.

?Что сейчас? Я смотрю шорт ниже 6,112 снова с целью забрать около 0,7-1%. 

?График прикладываю 

Не ИИР

Больше идей и аналитики вы найдёте у меня в профиле ?
Подпишись, чтобы не потерять ?

Всем профита ??",1
"{$AQUA} как приятно, что ты единственная акция в лонг у меня...
Весь рынок зеленый, только ты сползаешь на дно (",1
"{$ROSN} в пятницу прольётся все что есть, а в понедельник придут нерезиденты и начнут лить остатки",1
"{$SBER} сбер будет бесконечно расти без откатов, только брать и точка, по всем каналам опять инвестиции рекламируют как в 2021",1
"{$GAZP} действительно, доброе утро))))",0
"{$ZIM} 3 копейки в день туда-сюда гоняет, когда с конца декабря всё летит
Как меня угораздило сюда вляпаться ? злюсь на себя второй месяц",0
{$DSKY} это Шортсквиз о котором ранее многие говорили,1
"{$AFKS} а я все голову ломал, как же гэп закроется, неужели вниз пойдем с понедельника. А вот и суббота, вот и закрыли) держу до целей смело.",1
{$EAR} ой че щас будет ребята??,0
{$BIIB} хотели лёгкие иксы ? А вот вам дуля ? он как бы намекает ?????,1
"{$SFTL} так и хочется запеть! А я нашел другую, хоть не люблю, но скупаю! А когда о тебе вспоминаю, свой портфель до нуля растерзаю?",1
{$BBBY} хочется верить что это дно и начнём немного идти в рост,1
"{$NKHP} еле вышел, мой нерекомендасьеон",0
{$KZOSP}  не терять из виду (для себя),0
"{$EGHT} что ты зараза, то туда, то суда. Вверх давай!!!",0
"{$GAZP}  мамкины инвесторы, сливают на любом шорохе, потом берут ещё дороже)",1
{$MOEX} ты куда? Даже голову не поднимай 110 сюда подать.,0
"{$WISH} сегодня прям защитный актив оказалась вишка. Все попадало  , эта держится…",1
